2021-02-26 07:07:57,282 - datasetCreation - INFO - found potential source scan 16, checking for overlap
2021-02-26 07:10:55,136 - datasetCreation - INFO - [1|16][ts] overlap size post-filter: (664283, 9)
2021-02-26 07:10:55,856 - datasetCreation - INFO - [1|16][ts] overlap size post-resample: (20406, 9)
2021-02-26 07:11:12,755 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 07:13:25,582 - datasetCreation - INFO - [1|16][ss] overlap size post-filter: (3257521, 9)
2021-02-26 07:13:28,539 - datasetCreation - INFO - [1|16][ss] overlap size post-resample: (20462, 9)
2021-02-26 07:13:45,280 - datasetCreation - INFO - found potential source scan 12, checking for overlap
2021-02-26 07:16:14,944 - datasetCreation - INFO - [1|12][ts] overlap size post-filter: (645499, 9)
2021-02-26 07:16:15,674 - datasetCreation - INFO - [1|12][ts] overlap size post-resample: (20401, 9)
2021-02-26 07:16:32,853 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 07:20:02,928 - datasetCreation - INFO - [1|12][ss] overlap size post-filter: (6825993, 9)
2021-02-26 07:20:09,100 - datasetCreation - INFO - [1|12][ss] overlap size post-resample: (20468, 9)
2021-02-26 07:20:27,332 - datasetCreation - INFO - found potential source scan 35, checking for overlap
2021-02-26 07:23:48,446 - datasetCreation - INFO - [1|35][ts] overlap size post-filter: (668987, 9)
2021-02-26 07:23:49,165 - datasetCreation - INFO - [1|35][ts] overlap size post-resample: (20418, 9)
2021-02-26 07:24:07,832 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 07:28:45,711 - datasetCreation - INFO - [1|35][ss] overlap size post-filter: (4920965, 9)
2021-02-26 07:28:50,142 - datasetCreation - INFO - [1|35][ss] overlap size post-resample: (20521, 9)
2021-02-26 07:29:08,442 - datasetCreation - INFO - found potential source scan 23, checking for overlap
2021-02-26 07:29:22,114 - datasetCreation - INFO - [1|23][ts] overlap size post-filter: (0, 9)
2021-02-26 07:29:22,382 - datasetCreation - INFO - found potential source scan 5, checking for overlap
2021-02-26 07:29:37,187 - datasetCreation - INFO - [1|5][ts] overlap size post-filter: (0, 9)
2021-02-26 07:29:37,477 - datasetCreation - INFO - found potential source scan 34, checking for overlap
2021-02-26 07:32:43,418 - datasetCreation - INFO - [1|34][ts] overlap size post-filter: (524078, 9)
2021-02-26 07:32:44,081 - datasetCreation - INFO - [1|34][ts] overlap size post-resample: (20404, 9)
2021-02-26 07:33:02,007 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 07:37:37,470 - datasetCreation - INFO - [1|34][ss] overlap size post-filter: (9319156, 9)
2021-02-26 07:37:45,723 - datasetCreation - INFO - [1|34][ss] overlap size post-resample: (20600, 9)
2021-02-26 07:38:04,565 - datasetCreation - INFO - found potential source scan 36, checking for overlap
2021-02-26 07:38:18,764 - datasetCreation - INFO - [1|36][ts] overlap size post-filter: (0, 9)
2021-02-26 07:38:19,015 - datasetCreation - INFO - found potential source scan 24, checking for overlap
2021-02-26 07:38:35,498 - datasetCreation - INFO - [1|24][ts] overlap size post-filter: (0, 9)
2021-02-26 07:38:35,809 - datasetCreation - INFO - found potential source scan 31, checking for overlap
2021-02-26 07:41:19,363 - datasetCreation - INFO - [1|31][ts] overlap size post-filter: (50010, 9)
2021-02-26 07:41:19,576 - datasetCreation - INFO - found potential source scan 28, checking for overlap
2021-02-26 07:41:36,883 - datasetCreation - INFO - [1|28][ts] overlap size post-filter: (0, 9)
2021-02-26 07:41:37,211 - datasetCreation - INFO - found potential source scan 20, checking for overlap
2021-02-26 07:50:59,599 - datasetCreation - INFO - [1|20][ts] overlap size post-filter: (2811825, 9)
2021-02-26 07:51:02,330 - datasetCreation - INFO - [1|20][ts] overlap size post-resample: (20437, 9)
2021-02-26 07:51:19,807 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 08:00:12,763 - datasetCreation - INFO - [1|20][ss] overlap size post-filter: (2027806, 9)
2021-02-26 08:00:14,736 - datasetCreation - INFO - [1|20][ss] overlap size post-resample: (20600, 9)
2021-02-26 08:00:32,411 - datasetCreation - INFO - found potential source scan 27, checking for overlap
2021-02-26 08:02:59,650 - datasetCreation - INFO - [1|27][ts] overlap size post-filter: (738423, 9)
2021-02-26 08:03:00,409 - datasetCreation - INFO - [1|27][ts] overlap size post-resample: (20412, 9)
2021-02-26 08:03:17,808 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 08:06:41,970 - datasetCreation - INFO - [1|27][ss] overlap size post-filter: (9346936, 9)
2021-02-26 08:06:50,206 - datasetCreation - INFO - [1|27][ss] overlap size post-resample: (20600, 9)
2021-02-26 08:07:08,612 - datasetCreation - INFO - found potential source scan 7, checking for overlap
2021-02-26 08:20:00,322 - datasetCreation - INFO - [1|7][ts] overlap size post-filter: (2863349, 9)
2021-02-26 08:20:02,932 - datasetCreation - INFO - [1|7][ts] overlap size post-resample: (20450, 9)
2021-02-26 08:20:20,403 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 08:33:09,657 - datasetCreation - INFO - [1|7][ss] overlap size post-filter: (2802077, 9)
2021-02-26 08:33:12,403 - datasetCreation - INFO - [1|7][ss] overlap size post-resample: (20588, 9)
2021-02-26 08:33:30,178 - datasetCreation - INFO - found potential source scan 13, checking for overlap
2021-02-26 08:33:42,522 - datasetCreation - INFO - [1|13][ts] overlap size post-filter: (0, 9)
2021-02-26 08:33:42,706 - datasetCreation - INFO - found potential source scan 15, checking for overlap
2021-02-26 08:37:24,700 - datasetCreation - INFO - [1|15][ts] overlap size post-filter: (1383792, 9)
2021-02-26 08:37:26,011 - datasetCreation - INFO - [1|15][ts] overlap size post-resample: (20412, 9)
2021-02-26 08:37:44,048 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 08:43:21,880 - datasetCreation - INFO - [1|15][ss] overlap size post-filter: (9367019, 9)
2021-02-26 08:43:29,597 - datasetCreation - INFO - [1|15][ss] overlap size post-resample: (20600, 9)
2021-02-26 08:43:49,133 - datasetCreation - INFO - found potential source scan 0, checking for overlap
2021-02-26 08:47:15,677 - datasetCreation - INFO - [1|0][ts] overlap size post-filter: (766587, 9)
2021-02-26 08:47:16,527 - datasetCreation - INFO - [1|0][ts] overlap size post-resample: (20408, 9)
2021-02-26 08:47:33,937 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 08:51:33,725 - datasetCreation - INFO - [1|0][ss] overlap size post-filter: (6866983, 9)
2021-02-26 08:51:39,463 - datasetCreation - INFO - [1|0][ss] overlap size post-resample: (20600, 9)
2021-02-26 08:51:57,556 - datasetCreation - INFO - found potential source scan 38, checking for overlap
2021-02-26 08:52:10,232 - datasetCreation - INFO - [1|38][ts] overlap size post-filter: (0, 9)
2021-02-26 08:52:10,495 - datasetCreation - INFO - found potential source scan 19, checking for overlap
2021-02-26 08:55:47,501 - datasetCreation - INFO - [1|19][ts] overlap size post-filter: (446918, 9)
2021-02-26 08:55:48,001 - datasetCreation - INFO - [1|19][ts] overlap size post-resample: (20383, 9)
2021-02-26 08:56:05,985 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 09:01:26,912 - datasetCreation - INFO - [1|19][ss] overlap size post-filter: (9346845, 9)
2021-02-26 09:01:34,602 - datasetCreation - INFO - [1|19][ss] overlap size post-resample: (20600, 9)
2021-02-26 09:01:53,296 - datasetCreation - INFO - found potential source scan 6, checking for overlap
2021-02-26 09:07:22,207 - datasetCreation - INFO - [1|6][ts] overlap size post-filter: (992626, 9)
2021-02-26 09:07:23,254 - datasetCreation - INFO - [1|6][ts] overlap size post-resample: (20427, 9)
2021-02-26 09:07:42,009 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 09:12:38,710 - datasetCreation - INFO - [1|6][ss] overlap size post-filter: (6510476, 9)
2021-02-26 09:12:44,214 - datasetCreation - INFO - [1|6][ss] overlap size post-resample: (20600, 9)
2021-02-26 09:13:02,691 - datasetCreation - INFO - found potential source scan 39, checking for overlap
2021-02-26 14:14:45,593 - datasetCreation - INFO - Starting
2021-02-26 14:14:45,601 - datasetCreation - INFO - found target scan 1, checking for potential sources to harmonize
2021-02-26 14:14:45,998 - datasetCreation - INFO - found potential source scan 26, checking for overlap
2021-02-26 14:17:16,333 - datasetCreation - INFO - [1|26][ts] overlap size post-filter: (602411, 9)
2021-02-26 14:17:17,071 - datasetCreation - INFO - [1|26][ts] overlap size post-resample: (20320, 9)
2021-02-26 14:17:29,625 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 14:19:25,944 - datasetCreation - INFO - [1|26][ss] overlap size post-filter: (4178260, 9)
2021-02-26 14:19:29,519 - datasetCreation - INFO - [1|26][ss] overlap size post-resample: (20567, 9)
2021-02-26 14:19:43,654 - datasetCreation - INFO - found potential source scan 29, checking for overlap
2021-02-26 14:20:50,006 - datasetCreation - INFO - [1|29][ts] overlap size post-filter: (6146, 9)
2021-02-26 14:20:50,350 - datasetCreation - INFO - found potential source scan 37, checking for overlap
2021-02-26 14:23:43,282 - datasetCreation - INFO - [1|37][ts] overlap size post-filter: (224445, 9)
2021-02-26 14:23:43,580 - datasetCreation - INFO - [1|37][ts] overlap size post-resample: (20335, 9)
2021-02-26 14:23:57,610 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 14:26:25,978 - datasetCreation - INFO - [1|37][ss] overlap size post-filter: (5668423, 9)
2021-02-26 14:26:30,722 - datasetCreation - INFO - [1|37][ss] overlap size post-resample: (20600, 9)
2021-02-26 14:26:45,566 - datasetCreation - INFO - found potential source scan 3, checking for overlap
2021-02-26 14:26:57,267 - datasetCreation - INFO - [1|3][ts] overlap size post-filter: (0, 9)
2021-02-26 14:26:57,529 - datasetCreation - INFO - found potential source scan 21, checking for overlap
2021-02-26 14:34:33,671 - datasetCreation - INFO - [1|21][ts] overlap size post-filter: (1820835, 9)
2021-02-26 14:34:35,306 - datasetCreation - INFO - [1|21][ts] overlap size post-resample: (20422, 9)
2021-02-26 14:34:50,581 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 14:42:50,721 - datasetCreation - INFO - [1|21][ss] overlap size post-filter: (5585754, 9)
2021-02-26 14:42:55,368 - datasetCreation - INFO - [1|21][ss] overlap size post-resample: (20439, 9)
2021-02-26 14:43:10,673 - datasetCreation - INFO - found potential source scan 30, checking for overlap
2021-02-26 14:51:27,682 - datasetCreation - INFO - [1|30][ts] overlap size post-filter: (2129375, 9)
2021-02-26 14:51:29,528 - datasetCreation - INFO - [1|30][ts] overlap size post-resample: (20446, 9)
2021-02-26 14:51:45,204 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 14:59:41,227 - datasetCreation - INFO - [1|30][ss] overlap size post-filter: (4971350, 9)
2021-02-26 14:59:45,456 - datasetCreation - INFO - [1|30][ss] overlap size post-resample: (20581, 9)
2021-02-26 15:00:01,166 - datasetCreation - INFO - found potential source scan 22, checking for overlap
2021-02-26 15:03:36,660 - datasetCreation - INFO - [1|22][ts] overlap size post-filter: (555718, 9)
2021-02-26 15:03:37,228 - datasetCreation - INFO - [1|22][ts] overlap size post-resample: (20404, 9)
2021-02-26 15:03:52,911 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 15:08:15,323 - datasetCreation - INFO - [1|22][ss] overlap size post-filter: (4323024, 9)
2021-02-26 15:08:18,981 - datasetCreation - INFO - [1|22][ss] overlap size post-resample: (20449, 9)
2021-02-26 15:08:34,716 - datasetCreation - INFO - found potential source scan 17, checking for overlap
2021-02-26 15:08:48,729 - datasetCreation - INFO - [1|17][ts] overlap size post-filter: (0, 9)
2021-02-26 15:08:49,064 - datasetCreation - INFO - found potential source scan 9, checking for overlap
2021-02-26 15:11:55,085 - datasetCreation - INFO - [1|9][ts] overlap size post-filter: (458953, 9)
2021-02-26 15:11:55,572 - datasetCreation - INFO - [1|9][ts] overlap size post-resample: (20413, 9)
2021-02-26 15:12:11,289 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 15:16:45,178 - datasetCreation - INFO - [1|9][ss] overlap size post-filter: (9148471, 9)
2021-02-26 15:16:52,841 - datasetCreation - INFO - [1|9][ss] overlap size post-resample: (20600, 9)
2021-02-26 15:17:08,957 - datasetCreation - INFO - found potential source scan 33, checking for overlap
2021-02-26 15:17:48,836 - datasetCreation - INFO - [1|33][ts] overlap size post-filter: (73770, 9)
2021-02-26 15:17:48,987 - datasetCreation - INFO - found potential source scan 14, checking for overlap
2021-02-26 15:17:57,897 - datasetCreation - INFO - [1|14][ts] overlap size post-filter: (0, 9)
2021-02-26 15:17:58,151 - datasetCreation - INFO - found potential source scan 10, checking for overlap
2021-02-26 15:20:21,426 - datasetCreation - INFO - [1|10][ts] overlap size post-filter: (665345, 9)
2021-02-26 15:20:22,051 - datasetCreation - INFO - [1|10][ts] overlap size post-resample: (20408, 9)
2021-02-26 15:20:37,684 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 15:24:06,985 - datasetCreation - INFO - [1|10][ss] overlap size post-filter: (10023077, 9)
2021-02-26 15:24:15,265 - datasetCreation - INFO - [1|10][ss] overlap size post-resample: (20600, 9)
2021-02-26 15:24:31,212 - datasetCreation - INFO - found potential source scan 11, checking for overlap
2021-02-26 15:28:08,454 - datasetCreation - INFO - [1|11][ts] overlap size post-filter: (411621, 9)
2021-02-26 15:28:08,882 - datasetCreation - INFO - [1|11][ts] overlap size post-resample: (20364, 9)
2021-02-26 15:28:25,028 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 15:32:55,282 - datasetCreation - INFO - [1|11][ss] overlap size post-filter: (2518765, 9)
2021-02-26 15:32:57,500 - datasetCreation - INFO - [1|11][ss] overlap size post-resample: (20432, 9)
2021-02-26 15:33:13,653 - datasetCreation - INFO - found potential source scan 4, checking for overlap
2021-02-26 15:36:40,242 - datasetCreation - INFO - [1|4][ts] overlap size post-filter: (641284, 9)
2021-02-26 15:36:40,880 - datasetCreation - INFO - [1|4][ts] overlap size post-resample: (20403, 9)
2021-02-26 15:36:56,539 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 15:41:18,318 - datasetCreation - INFO - [1|4][ss] overlap size post-filter: (6139979, 9)
2021-02-26 15:41:23,480 - datasetCreation - INFO - [1|4][ss] overlap size post-resample: (20600, 9)
2021-02-26 15:41:39,972 - datasetCreation - INFO - found potential source scan 25, checking for overlap
2021-02-26 15:41:47,213 - datasetCreation - INFO - [1|25][ts] overlap size post-filter: (0, 9)
2021-02-26 15:41:47,378 - datasetCreation - INFO - found potential source scan 2, checking for overlap
2021-02-26 15:45:41,472 - datasetCreation - INFO - [1|2][ts] overlap size post-filter: (368850, 9)
2021-02-26 15:45:41,919 - datasetCreation - INFO - [1|2][ts] overlap size post-resample: (18879, 9)
2021-02-26 15:45:55,802 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 15:50:42,177 - datasetCreation - INFO - [1|2][ss] overlap size post-filter: (8419186, 9)
2021-02-26 15:50:49,212 - datasetCreation - INFO - [1|2][ss] overlap size post-resample: (20593, 9)
2021-02-26 15:51:05,230 - datasetCreation - INFO - found potential source scan 40, checking for overlap
2021-02-26 15:53:33,612 - datasetCreation - INFO - [1|40][ts] overlap size post-filter: (920750, 9)
2021-02-26 15:53:34,486 - datasetCreation - INFO - [1|40][ts] overlap size post-resample: (20414, 9)
2021-02-26 15:53:50,905 - datasetCreation - INFO - found sufficent overlap, sampling outside
2021-02-26 15:57:33,835 - datasetCreation - INFO - [1|40][ss] overlap size post-filter: (7702499, 9)
2021-02-26 15:57:40,189 - datasetCreation - INFO - [1|40][ss] overlap size post-resample: (20559, 9)
2021-02-26 15:57:56,603 - datasetCreation - INFO - found potential source scan 8, checking for overlap
